words,counts
ลิลลี่-VERB,1
ง-VERB,1
หาด-VERB,12
กะตะหาดเขาหลัก-VERB,1
ทราบ-VERB,6
เอา-VERB,14
อ่าน-VERB,10
ดกะรน-VERB,1
ทาง-VERB,2
อาศัย-VERB,8
ไผ่-VERB,1
สตูดิโอสัก-VERB,1
ตลอด-VERB,4
ลิ่ง-VERB,1
แน่ใจ-VERB,22
ขอบ-VERB,1
ร่มรื่น-VERB,2
ดี-VERB,4
วุ่นวาย-VERB,21
รีบเร่ง-VERB,1
กระทำ-VERB,5
findig-VERB,1
คลับหลัก-VERB,1
เปิด-VERB,14
กระจัดกระจาย-VERB,2
อนุญาต-VERB,9
ใบลอง-VERB,1
ชิน-VERB,1
กว่า-VERB,8
ปิด-VERB,7
คริสต์มาส-VERB,1
ไพเราะ-VERB,1
ค็อกเทล-VERB,6
ช็อปปิ้ง-VERB,9
บ้า-VERB,6
ข้าม-VERB,19
จังซีลอน-VERB,1
ติดต่อ-VERB,1
นิดหน่อย-VERB,1
จบ-VERB,3
ขัง-VERB,1
ปรับ-VERB,7
กล้วยเวคบอร์ด-VERB,1
ลฯ-VERB,2
รก-VERB,1
ฉุด-VERB,1
ค่อย-VERB,8
ลด-VERB,6
ขี้-VERB,3
เกียจ-VERB,2
ท้อง-VERB,1
สะดวกสบาย-VERB,7
ต่อ-VERB,8
คาด-VERB,8
จ้าง-VERB,8
ย้าย-VERB,6
ส่าย-VERB,2
มา-VERB,37
คูตา-VERB,3
เกาะบาหลี-VERB,1
ครีม-VERB,3
ต่อสู้-VERB,4
ยิ้ม-VERB,5
พก-VERB,1
ปัด-VERB,2
บุกรุก-VERB,1
เที่ยว-VERB,31
จินตนาการ-VERB,7
แยก-VERB,2
ช่วยเหลือ-VERB,2
อุ่นส่วน-VERB,1
อุ่น-VERB,2
ปาร์ตี้-VERB,10
คึกคัก-VERB,9
สูงอายุ-VERB,1
เร่งรีบ-VERB,8
ท่อง-VERB,2
โยน-VERB,3
ลืม-VERB,4
โพสต์-VERB,2
ร้อน-VERB,2
แขวน-VERB,2
คุ้มค่า-VERB,1
ตบกลาง-VERB,1
สร้าง-VERB,11
ชื่นชอบ-VERB,4
อาบ-VERB,5
รบ-VERB,1
กวน-VERB,1
น้ำใส-VERB,1
เจ็ทสกีล่อง-VERB,1
ต้อนรับ-VERB,3
ดึงดูด-VERB,4
ขัดแย้ง-VERB,1
กล่าวหา-VERB,1
เสี่ยง-VERB,2
นิสัย-VERB,1
บ้าคลั่ง-VERB,4
คับแคบ-VERB,2
ก-VERB,1
หญิง-VERB,24
คว้า-VERB,4
ปลุก-VERB,1
ปฏิบัติ-VERB,4
มอบ-VERB,1
สินบน-VERB,1
ถนนบาง-VERB,4
เต็ม-VERB,1
ประจำ-VERB,4
รู้จบ-VERB,1
รีบ-VERB,4
ม้าลาย-VERB,1
หมาย-VERB,1
ลำบาก-VERB,1
ล่า-VERB,2
บรรจุ-VERB,4
ลอกเลียน-VERB,1
ขาดแคลน-VERB,1
สันทนาการ-VERB,1
เก้าอี้-VERB,8
ซ่อน-VERB,4
ชนะ-VERB,3
เหล้า-VERB,2
กังกุนสเตียรอยด์-VERB,1
ไนท์-VERB,2
คลับคลับ-VERB,1
ดำเนิน-VERB,7
ขอบคุณ-VERB,3
ครอก-VERB,2
หาเลี้ยง-VERB,1
แลก-VERB,1
ตื้นแต่-VERB,1
เปียก-VERB,2
พัด-VERB,3
กระบี่-VERB,3
รุม-VERB,2
หลีกเลี่ยง-VERB,11
ประมาณ-VERB,1
แพง-VERB,6
กะเหรี่ยง-VERB,1
หนา-VERB,7
ยกเว้น-VERB,2
แปลก-VERB,2
ตา-VERB,2
สัก-VERB,1
เร่-VERB,3
ร้าน-VERB,8
กันเอง-VERB,1
อธิบาย-VERB,7
กำมือ-VERB,1
เดา-VERB,7
หลากหลาย-VERB,2
กรุงเทพ-VERB,1
วิจัย-VERB,4
ดัน-VERB,1
ดึง-VERB,10
บิน-VERB,7
กล่าว-VERB,8
เพิ่มเติม-VERB,5
สนามบิน-VERB,2
ถ-VERB,1
โอน-VERB,1
จอง-VERB,5
หยิบ-VERB,1
เป็นอยู่-VERB,1
นึก-VERB,5
findinurway-VERB,1
cheapcostascomparedtokl-VERB,1
บาร์gogo-VERB,1
กาม-VERB,1
ระเบิด-VERB,1
ต่าง-VERB,1
ปิง-VERB,1
ยินดี-VERB,3
ก็ตาม-VERB,11
จำกัด-VERB,2
รองรับ-VERB,4
เรียนรู้-VERB,5
คือ-VERB,3
ตอบ-VERB,5
โทร-VERB,1
กลิ่น-VERB,4
น้ำเสียง-VERB,1
หยาบคาย-VERB,3
สบายใจ-VERB,2
เช้า-VERB,2
เปิดเผย-VERB,1
หมด-VERB,3
สมัครใจ-VERB,1
ปกครอง-VERB,2
ตั้งใจ-VERB,3
แครนส์-VERB,1
พาย-VERB,1
ถ้ำ-VERB,1
ประสบการณ์-VERB,3
กะรน-VERB,5
พอสมควร-VERB,1
ตัด-VERB,5
หก-VERB,1
ตื่นเต้น-VERB,5
ประสบ-VERB,1
เชิญ-VERB,3
ใส่ใจ-VERB,3
ระ-VERB,1
อย่า-VERB,8
แตก-VERB,5
แน่นอน-VERB,2
ถนนดี-VERB,1
จับตา-VERB,1
หน่อย-VERB,2
เทียบ-VERB,11
กัว-VERB,1
ปล่อย-VERB,8
ดูแลรักษา-VERB,3
เจรจา-VERB,3
ระเบียง-VERB,2
ฯลฯ-VERB,5
ไอศครีม-VERB,2
ขัดขืน-VERB,1
ปรับเปลี่ยน-VERB,1
คุณประหยัด-VERB,1
สูญเสีย-VERB,4
อาย-VERB,1
ประทับใจ-VERB,6
สองสาม-VERB,8
กล้วยเจ็ท-VERB,1
พระอาทิตย์-VERB,1
ลบ-VERB,3
เรียกร้อง-VERB,2
แท็กซี่-VERB,4
ยิง-VERB,2
ควบคุม-VERB,3
ตบ-VERB,2
บ่น-VERB,1
\\u200b-VERB,1
เยือน-VERB,7
พ่อค้า-VERB,1
ถัด-VERB,12
บาร์สปานวด-VERB,1
น้ำมืด-VERB,1
ด้อย-VERB,1
กมลา-VERB,7
เร็ว-VERB,1
สิ่งผ่อนคลาย-VERB,1
ช็อป-VERB,1
วิวทะเล-VERB,1
คูน-VERB,1
เจ๋ง-VERB,2
ย-VERB,2
ยืนยัน-VERB,2
สับสน-VERB,2
เผชิญหน้า-VERB,1
ดีใจ-VERB,2
เชือก-VERB,1
งี่-VERB,1
เจริญ-VERB,1
แข็ง-VERB,1
ลาย-VERB,1
accesbile-VERB,1
เก็บ-VERB,10
รำคาญ-VERB,9
เข้าหา-VERB,1
กระโดด-VERB,8
สังสรรค์-VERB,1
เรย์-VERB,1
กุศล-VERB,2
cheesedoff-VERB,1
ถนนคน-VERB,1
ประหลาดใจ-VERB,8
กันและกัน-VERB,2
จุดหมายปลาย-VERB,1
ทำนวด-VERB,1
คุณมี-VERB,1
ใกล้ชาย-VERB,1
ไหล-VERB,5
กระท่อม-VERB,2
อุ่นใจ-VERB,3
ครู่-VERB,2
เจอ-VERB,2
คลั่ง-VERB,2
ไล่-VERB,1
กัด-VERB,2
ท่า-VERB,1
กะตะ-VERB,15
คอก-VERB,1
เคลื่อน-VERB,1
จังหวะ-VERB,1
ถ้วย-VERB,2
เหา-VERB,1
สีมรกต-VERB,1
ใบฯลฯ-VERB,1
ลังกาวี-VERB,1
ระมัดระวัง-VERB,3
ยก-VERB,2
เอน-VERB,1
เรียง-VERB,1
คม-VERB,1
สำราญ-VERB,2
พึง-VERB,1
ประสงค์-VERB,1
พนักงาน-VERB,1
จัดหา-VERB,1
พบปะ-VERB,2
บาร์บีคิว-VERB,1
ระบุ-VERB,2
เย็นและ-VERB,1
พรุน-VERB,1
คู่-VERB,2
ยาวเหยียด-VERB,1
เว้น-VERB,5
กลาย-VERB,6
ลิ้ม-VERB,1
karon-VERB,1
ถูกต้อง-VERB,3
สบายดี-VERB,1
เท่า-VERB,8
ด่ำ-VERB,2
คารอน-VERB,2
สลับ-VERB,1
ล้อม-VERB,4
ไนย์-VERB,1
สระ-VERB,3
ประเมิน-VERB,1
สุจริต-VERB,1
ผับ-VERB,2
ล้น-VERB,1
พึงพอใจ-VERB,1
รี-VERB,1
ก็ดี-VERB,4
ชอบผจญ-VERB,1
ก้น-VERB,2
ป่าตอง-VERB,1
กินสปาทัวร์-VERB,1
หลีกหนี-VERB,1
ทาน-VERB,5
ผจญ-VERB,2
จองทัวร์-VERB,1
ระลึก-VERB,2
กรอบ-VERB,1
ปกคลุม-VERB,4
กระจก-VERB,1
ล่อลวง-VERB,1
กล้า-VERB,2
ปีน-VERB,2
มัด-VERB,1
ปกป้อง-VERB,1
หลง-VERB,1
จนถึง-VERB,2
คอนโด-VERB,1
เชื่อม-VERB,1
กระทั่ง-VERB,2
คุณเพลิดเพลิน-VERB,2
แผง-VERB,4
ไอศกรีม-VERB,2
ว่ายน้ำ-VERB,1
ชะล้าง-VERB,2
ฯ-VERB,1
สอน-VERB,2
เลิก-VERB,1
ไหน-VERB,2
ลับกลับ-VERB,1
ปัญญาอ่อน-VERB,1
เสร็จ-VERB,2
ไทย-VERB,6
กุ้ง-VERB,5
กรุงเทพภูเก็ต-VERB,1
รับรอง-VERB,2
คอย-VERB,3
คุณปลอด-VERB,1
ประเภท-VERB,1
แจ้ง-VERB,2
เอาใจใส่-VERB,1
กะตะกะ-VERB,1
pantong-VERB,1
กำลัง-VERB,1
เสียใจ-VERB,4
กระดาษ-VERB,3
พ่น-VERB,1
ไร้-VERB,5
บ้าง-VERB,3
ปรุงแต่ง-VERB,1
อร่อย-VERB,2
bagacalingute-VERB,1
บำรุง-VERB,1
กำจัด-VERB,4
คาดคิด-VERB,1
หนี-VERB,2
ตั้งแต่-VERB,5
สด-VERB,3
คู่รัก-VERB,1
ครอบครอง-VERB,1
เต้น-VERB,3
เสา-VERB,1
โน้มน้าว-VERB,1
เชื่อมั่น-VERB,1
คลื่น-VERB,4
จักรยาน-VERB,2
ย่าน-VERB,1
พอใจ-VERB,6
ต่อต้าน-VERB,1
เงียบสงบ-VERB,2
กะตะน้อย-VERB,1
หลงใหล-VERB,1
เตรียม-VERB,1
แห่-VERB,1
บวก-VERB,2
สูญหาย-VERB,1
ใกล้เคียง-VERB,4
พลาด-VERB,2
ตำรับ-VERB,1
ขยะ-VERB,1
ทัวร์-VERB,2
สาบทอด-VERB,1
รั้ว-VERB,1
ตรงกันข้าม-VERB,1
จับจ่าย-VERB,1
กระทบ-VERB,2
ก๋วยเตี๋ยว-VERB,1
จำ-VERB,3
ถอนหายใจ-VERB,1
งีบ-VERB,1
หลับ-VERB,1
โต้-VERB,2
หอม-VERB,1
ลุยวิต-VERB,1
บกพร่อง-VERB,1
ร่วมมือ-VERB,1
อิ่ม-VERB,1
เสิร์ฟ-VERB,2
ยำ-VERB,1
ซุป-VERB,1
เจ้าของ-VERB,2
จาน-VERB,2
การ์ด-VERB,2
ไง-VERB,1
เผ็ด-VERB,2
reataurants-VERB,1
พูดคุย-VERB,1
กระพริบ-VERB,1
ผลิ-VERB,1
กระจาย-VERB,3
ถุง-VERB,2
บ้าน-VERB,1
คุกคาม-VERB,2
ป้าย-VERB,1
กรุงเทพฯ-VERB,1
โนรา-VERB,1
ตำหนิ-VERB,1
เกี่ยวข้อง-VERB,2
เสียดาย-VERB,2
เยอะ-VERB,4
วิว-VERB,1
ไฟ-VERB,1
เฮนน่า-VERB,1
เยี่ยม-VERB,3
ส่วน-VERB,2
ไว้ใจ-VERB,1
ไฮซีซั่น-VERB,1
แสวงหา-VERB,1
ก่อกวน-VERB,3
แรมป่า-VERB,1
มากมาย-VERB,2
คาเฟ่มวย-VERB,1
คราม-VERB,1
คุณสนุก-VERB,1
กลุ่มพิทักษ์-VERB,1
วิธี-VERB,1
ขยะล้าง-VERB,1
บอกเล่า-VERB,1
ทดสอบ-VERB,1
เล่า-VERB,1
ขัดขวาง-VERB,2
เครียด-VERB,1
พักผ่อนหย่อนใจ-VERB,1
ติดตาม-VERB,1
รวบรวม-VERB,2
ชำระ-VERB,3
ออสซี่-VERB,1
สวน-VERB,1
ซุกซน-VERB,1
ซน-VERB,1
โสด-VERB,1
เปรี้ยง-VERB,1
เที่ยง-VERB,1
ทา-VERB,1
โซน-VERB,1
ซ่อง-VERB,1
ใช่-VERB,2
เตือน-VERB,1
กะลา-VERB,1
งบ-VERB,1
กดดัน-VERB,1
วิ่ง-VERB,2
ไกล-VERB,5
สลัด-VERB,1
เอทีเอ็ม-VERB,1
ขยาย-VERB,1
ป่วย-VERB,3
กล้วยไม้-VERB,1
ซุกสร้อย-VERB,1
คอประชาชน-VERB,1
บังคับ-VERB,3
คุณสนใจ-VERB,1
ขา-VERB,2
ขรุขระ-VERB,2
กด-VERB,1
ว้าว-VERB,1
รังเกียจ-VERB,4
คัน-VERB,2
มะพร้าว-VERB,1
ทน-VERB,1
ปั่นป่วน-VERB,2
เรียงราย-VERB,1
โรย-VERB,2
กวาด-VERB,3
ย่าง-VERB,1
ท่วม-VERB,2
หาบเร่-VERB,1
ผลัก-VERB,1
แอคทีฟ-VERB,1
สดใส-VERB,1
กีฬาทาง-VERB,1
สักเฮนน่า-VERB,2
แถบ-VERB,1
กำลังใจ-VERB,1
ปะการังอมารี-VERB,1
ไมล์-VERB,1
หาดป่า-VERB,1
นุ่มนวล-VERB,1
เลานจ์-VERB,2
ตะลึง-VERB,1
รอด-VERB,1
แรมบุราส่าหรี-VERB,1
เปิดใจ-VERB,1
ถัง-VERB,3
รถ-VERB,2
ปาตง-VERB,2
โรงแรมโรงแรมสวรรค์-VERB,1
ผลิต-VERB,1
วัด-VERB,1
กระจุกกระจิก-VERB,1
ที่ปรึกษา-VERB,1
พิมพ์-VERB,1
แพ้-VERB,3
รายละเอียด-VERB,1
เล็ก-VERB,1
ค้าจังซีลอน-VERB,1
เบ็น-VERB,1
นัด-VERB,1
กล่อง-VERB,1
รอเบน-VERB,1
ค้น-VERB,1
ค๊อกเทล-VERB,1
ควีน-VERB,1
เทลล่า-VERB,1
เช็ค-VERB,2
แรมอมตะ-VERB,1
เบน-VERB,1
ราว-VERB,1
ชาร์จ-VERB,1
ดูคาราโอเกะ-VERB,1
เฮฮา-VERB,1
hubby-VERB,1
ขอโทษ-VERB,1
ทักทาย-VERB,1
งดงาม-VERB,1
สงวน-VERB,1
ร้องเรียน-VERB,2
โซดาโลชั่น-VERB,1
แดด-VERB,1
บูกี้-VERB,1
คา-VERB,2
ยัค-VERB,1
ยุ่งมัน-VERB,1
ซื่อสัตย์-VERB,2
ปลิง-VERB,1
โดน-VERB,1
รีวิว-VERB,1
ใฝ่ฝัน-VERB,1
เกลียด-VERB,2
คายัค-VERB,1
เกียร์-VERB,1
คาเฟ่-VERB,1
ตอบสนอง-VERB,1
เบียร์-VERB,1
เรียน-VERB,1
มากเยี่ยมชม-VERB,1
ไวไฟ-VERB,1
เผชิญ-VERB,1
กำแพงทะเล-VERB,1
แอบ-VERB,1
สาหร่าย-VERB,1
กีฬา-VERB,2
อย่าง-VERB,1
พัทยา-VERB,1
คลั่งไคล้-VERB,1
กว้างใหญ่-VERB,1
สมควร-VERB,2
จำหน่าย-VERB,1
ตุ๊กตุ๊กพา-VERB,1
ค้าขาย-VERB,1
ดิ้ง-VERB,1
เพียง-VERB,1
การค้าจังซีลอน-VERB,1
ซาบซึ้ง-VERB,1
chnese-VERB,1
เกย์-VERB,1
หาดหวัง-VERB,1
ย้อนกลับ-VERB,1
ถอด-VERB,2
เลวร้าย-VERB,6
ยึดครอง-VERB,1
ร่มเงา-VERB,1
ดีบาร์-VERB,1
แสน-VERB,1
หนักหน่วง-VERB,1
กลั้น-VERB,1
หายใจ-VERB,1
คุณศัพท์-VERB,1
พึงประสงค์-VERB,1
ผิดพลาด-VERB,1
คุณพา-VERB,1
ถอย-VERB,1
ขโมย-VERB,2
ลุย-VERB,1
เคาะ-VERB,1
ปั่น-VERB,1
ล้ม-VERB,2
ปู-VERB,1
ยื่น-VERB,1
ยิ้มแย้ม-VERB,2
วิถี-VERB,1
กะตะเหมาะ-VERB,1
ดัก-VERB,2
b4-VERB,1
คุณนำ-VERB,1
ขู่-VERB,1
อ้าง-VERB,2
เถียง-VERB,1
stung-VERB,1
เป็นต้น-VERB,1
ตะโกน-VERB,2
สวม-VERB,2
เปลือย-VERB,1
ราย-VERB,1
กระเรียน-VERB,1
โกรธ-VERB,2
แบก-VERB,2
รายงาน-VERB,1
ก่อนหน้า-VERB,1
กระสับกระส่าย-VERB,1
หลงไหล-VERB,1
เยี่ยมชมชายหาด-VERB,1
คุ้นเคย-VERB,2
สี-VERB,1
เกลื่อน-VERB,1
เจ็ทสกีพาราร่อน-VERB,1
สม่ำเสมอ-VERB,1
พื้นฐาน-VERB,1
smth-VERB,1
กระป๋อง-VERB,2
understang-VERB,1
ดม-VERB,1
เอื้อ-VERB,1
คุณโชค-VERB,1
ดิบ-VERB,1
นิ่มนวล-VERB,1
สาบาน-VERB,4
ต้ม-VERB,1
แจก-VERB,1
ตระหนัก-VERB,2
เหม็น-VERB,1
ยกเลิก-VERB,1
ดูด-VERB,2
ลิงตอน-VERB,1
ไหร่-VERB,1
มอเตอร์ไซค์-VERB,1
ดึงดัง-VERB,1
กุญแจ-VERB,1
ตั๋ว-VERB,1
กฎระเบียบ-VERB,1
กระบี่เรา-VERB,1
ฉีก-VERB,2
ไหว-VERB,2
โต้เถียง-VERB,1
เจ็บปวด-VERB,1
คลุม-VERB,1
ก้าว-VERB,2
ตาด-VERB,1
คุณกระตือรือร้น-VERB,1
เคารพ-VERB,3
ตัดสิน-VERB,1
ตุ๊ก-VERB,1
เปล่ง-VERB,1
หนู-VERB,1
โจมตี-VERB,2
เพศสัมพันธ์-VERB,1
อดีต-VERB,1
พัดพา-VERB,1
ปล้น-VERB,2
ทำร้าย-VERB,2
ข่มขู่-VERB,1
เปียน-VERB,1
ใบเจ็ทสกี-VERB,1
กะรนกะตะราไวย์-VERB,1
เมืองไทย-VERB,1
ตะวันออก-VERB,1
รับประทาน-VERB,1
แพร่หลาย-VERB,1
เสื่อมโทรม-VERB,1
พี่-VERB,1
หัวเราะ-VERB,1
ปฏิกูล-VERB,1
พีพี-VERB,1
ละอาย-VERB,1
ปนเปื้อน-VERB,2
ตาก-VERB,1
ถึงแม้-VERB,1
ทารุณกรรม-VERB,1
ถ่ม-VERB,1
น้ำลาย-VERB,1
หาดกะรน-VERB,1
เร่งเร้า-VERB,1
ปะปน-VERB,1
พิสูจน์-VERB,1
kutabeachbali-VERB,1
พลาดสวรรค์-VERB,1
ยา-VERB,1
ฉะนั้น-VERB,1
เศร้า-VERB,3
thingpaul-VERB,1
น้อยๆ-VERB,1
กย่อง-VERB,1
กลืน-VERB,3
blahblah-VERB,1
ครึ้ม-VERB,1
ถูกใจ-VERB,1
เคย-VERB,1
แย่-VERB,1
มืด-VERB,1
กะ-VERB,2
เร่ง-VERB,1
บัส-VERB,1
กำแพง-VERB,1
นายาง-VERB,1
ฮาวาย-VERB,1
แคริเบียน-VERB,1
คุณก้าว-VERB,1
กางเกง-VERB,1
ทั่วไป-VERB,1
เสียหาก-VERB,1
เกือบ-VERB,1
ไหม-VERB,1
ล้วง-VERB,1
คุณบิต-VERB,1
โจร-VERB,1
โผล่-VERB,1
จี๊ป-VERB,1
แม่ค้า-VERB,1
staduim-VERB,1
ยนต์-VERB,2
ลูก-VERB,1
อาหาร-VERB,1
ค้นพบ-VERB,1
สัมปทาน-VERB,1
ห้า-VERB,1
บาดเจ็บ-VERB,1
ที่ดิน-VERB,1
มณีpedi-VERB,1
ขจัด-VERB,1
กาก-VERB,1
นิ่ม-VERB,1
burgerking-VERB,1
สว่าง-VERB,1
คราว-VERB,1
ยาก-VERB,1
โหวต-VERB,1
ดุ-VERB,1
โกง-VERB,1
ชวน-VERB,1
คุณกล้า-VERB,1
ลังเล-VERB,1
