words,counts
ชัดเจน-ADV,1
งั้น-ADV,1
สวย-ADV,1
บ่อย-ADV,3
ปลอม-ADV,1
แท็กซี่-ADV,4
ไหม-ADV,1
เดิม-ADV,2
พักผ่อน-ADV,1
เหนื่อย-ADV,1
แย่-ADV,1
ห่าง-ADV,3
ล้วน-ADV,1
ยุ่งยาก-ADV,3
ล่วงหน้า-ADV,1
ลอง-ADV,2
โล่ง-ADV,1
ล้อมรอบ-ADV,1
ล้อ-ADV,1
ไก่-ADV,1
แสน-ADV,2
อร่อย-ADV,4
ลำพัง-ADV,1
จอง-ADV,1
เต็ม-ADV,2
ตุ๊กตุ๊กคุณ-ADV,1
ตุ๊กตุ๊กblablabla-ADV,1
จ้าง-ADV,1
เบ็น-ADV,1
สนุกสนาน-ADV,1
ต่อse-ADV,1
แทน-ADV,1
สนุก-ADV,2
เยอะ-ADV,2
กะตะน้อย-ADV,1
ทันที-ADV,7
ทั้งหมด-ADV,2
เกลื่อนกลาด-ADV,1
พอสมควร-ADV,1
ที่นั่น-ADV,1
นอน-ADV,1
มอเตอร์ไซด์-ADV,1
ตกต่ำ-ADV,1
ปริมาณ-ADV,1
ย-ADV,1
peopel-ADV,1
ทิม-ADV,1
ยนต์-ADV,2
แน่น-ADV,2
ยอง-ADV,1
จักรยาน-ADV,1
น็อก-ADV,1
ล่าช้า-ADV,1
โยน-ADV,1
กะตะ-ADV,1
จนกว่า-ADV,1
แทบ-ADV,4
bethailand-ADV,1
sunnies-ADV,1
ตกใจ-ADV,2
มอเตอร์ไซค์-ADV,1
ถนน-ADV,1
เร่งเร้า-ADV,1
หนัก-ADV,1
เมืองไทย-ADV,1
karon-ADV,1
มรดก-ADV,1
สัก-ADV,2
เว้น-ADV,1
ปกติ-ADV,1
pitty-ADV,1
อัด-ADV,1
ปาร์ตี้-ADV,1
ถุง-ADV,1
เชื่อ-ADV,1
เกลียด-ADV,1
ซุ่มซ่อน-ADV,1
เศร้า-ADV,1
ไหร่-ADV,1
อยู่แล้ว-ADV,1
แสร้ง-ADV,1
ถึง-ADV,1
ทั่วไป-ADV,1
ทหาร-ADV,1
ใช่-ADV,1
จริงจัง-ADV,1
เป้เที่ยว-ADV,1
