words,counts
patongjugceylone-NOUN,1
รับประทาน-NOUN,5
kairon-NOUN,1
ลีก-NOUN,1
พิพิธภัณฑ์สัตว์-NOUN,1
ประเทศไทย-NOUN,34
ขับ-NOUN,5
สกู๊ตเตอร์-NOUN,1
ชอบ-NOUN,3
ดนตรี-NOUN,10
แพน-NOUN,4
เค้ก-NOUN,3
สิ่งสถานที่-NOUN,1
หน่วย-NOUN,2
ท่องเที่ยว-NOUN,82
เอ็ด-NOUN,2
คะแนน-NOUN,4
เมตร-NOUN,7
tbh-NOUN,1
สนุก-NOUN,12
เย็น-NOUN,14
บังเอิญ-NOUN,2
เลียบ-NOUN,11
เข็น-NOUN,3
ปี-NOUN,66
tuttut-NOUN,1
เอเชีย-NOUN,1
ไทย-NOUN,1
เจ็ทสกาย-NOUN,2
ดวง-NOUN,13
อาทิตย์-NOUN,11
สวน-NOUN,2
โซ่-NOUN,1
mcdonalds-NOUN,1
สาขา-NOUN,1
ย-NOUN,1
เมือง-NOUN,36
ราชาเกาะพีพี-NOUN,1
ชม-NOUN,15
ดิน-NOUN,10
ภูเขา-NOUN,5
ขอบ-NOUN,4
แฟน-NOUN,4
ชั่วคราว-NOUN,1
คู่-NOUN,12
สัญญาณ-NOUN,6
ผิว-NOUN,9
แปลก-NOUN,2
โมง-NOUN,7
น้ำมัน-NOUN,7
jetski-NOUN,4
จ่าย-NOUN,4
b-NOUN,3
เร่-NOUN,6
น้ำใส-NOUN,1
ขนม-NOUN,3
ขบเคี้ยว-NOUN,2
เครื่องหมาย-NOUN,6
ผิด-NOUN,3
ปกติ-NOUN,3
เจ๋ง-NOUN,2
แรง-NOUN,4
ทิวทัศน์-NOUN,9
ว่าง-NOUN,4
แหล่ง-NOUN,28
fyibeach-NOUN,1
จ้าง-NOUN,2
อันดามัน-NOUN,2
บาร์ร้าน-NOUN,5
โต๊ะ-NOUN,4
นิดหน่อย-NOUN,2
เคลื่อน-NOUN,2
ออเดอร์-NOUN,1
เตียง-NOUN,15
ชุด-NOUN,10
มากมาย-NOUN,18
ตะวัน-NOUN,15
เจ็ตสกี-NOUN,6
พยายาม-NOUN,8
แออัดยัดเยียด-NOUN,1
มาเฟีย-NOUN,1
สกีหาก-NOUN,1
โพสต์-NOUN,1
ตำรวจ-NOUN,14
ท้าย-NOUN,8
ลาถนน-NOUN,1
นั้น-NOUN,5
ท่ามกลาง-NOUN,5
ดินแดน-NOUN,3
รอย-NOUN,13
วุ่นวาย-NOUN,12
หัวใจ-NOUN,4
ปลาย-NOUN,13
ช้อปปิ้ง-NOUN,6
เฟ่-NOUN,1
ขั้น-NOUN,7
สั้น-NOUN,1
คราว-NOUN,2
ด้าน-NOUN,44
ลอย-NOUN,3
ภาพ-NOUN,18
ขวา-NOUN,1
แจ๋ว-NOUN,1
ดูปลา-NOUN,1
ละอาย-NOUN,3
ช็อปปิ้ง-NOUN,10
เมืองป่า-NOUN,2
อับ-NOUN,1
อาย-NOUN,1
ประเภท-NOUN,13
สกีดู-NOUN,1
บาว-NOUN,1
สุด-NOUN,2
แนวโน้ม-NOUN,2
เปลญวน-NOUN,2
เคล็ด-NOUN,3
หาดตั้ง-NOUN,2
ศูนย์กลาง-NOUN,6
ป้าย-NOUN,2
กระท่อม-NOUN,3
เหมาะ-NOUN,9
วินาที-NOUN,6
เชิง-NOUN,11
พาณิชย์-NOUN,6
ยอด-NOUN,6
กลิ่น-NOUN,11
กอง-NOUN,7
ถุง-NOUN,8
เกลื่อน-NOUN,1
อื่น-NOUN,2
ขนหนู-NOUN,4
เพลง-NOUN,12
คุณคุณ-NOUN,2
ลำ-NOUN,1
นโยบาย-NOUN,2
สูบ-NOUN,6
บุหรี่-NOUN,5
เคบับ-NOUN,1
ไก่-NOUN,3
ภาชนะ-NOUN,1
ขอบคุณ-NOUN,6
หญิง-NOUN,9
สักเฮน-NOUN,1
วาด-NOUN,1
คืน-NOUN,13
อาหารและ-NOUN,2
ตื่นเต้น-NOUN,4
ชีวิต-NOUN,38
ภรรยา-NOUN,9
พัก-NOUN,23
เหรียญ-NOUN,4
ยูโร-NOUN,1
ชายหาดดี-NOUN,2
หงุดหงิด-NOUN,3
baragin-NOUN,1
ปอง-NOUN,2
ขั้นตอน-NOUN,4
แอลกอฮอล์-NOUN,5
ขวด-NOUN,11
ไวน์-NOUN,1
แนว-NOUN,6
กำลัง-NOUN,6
รูป-NOUN,12
จังหวัดภูเก็ต-NOUN,7
มะเร็ง-NOUN,1
ธุรกิจ-NOUN,12
พลาสติก-NOUN,19
นี่-NOUN,2
ฟอร์ม-NOUN,1
วาง-NOUN,3
แผนที่-NOUN,3
เหล่า-NOUN,12
หลีกเลี่ยง-NOUN,3
ซ้ำ-NOUN,2
ดอก-NOUN,5
ขอ-NOUN,2
macca-NOUN,1
อ่าวนางมี-NOUN,1
ทอง-NOUN,1
plasic-NOUN,1
สุรินทร์-NOUN,7
อาคาร-NOUN,3
กะตะชาย-NOUN,1
เบื่อหา-NOUN,1
ประมง-NOUN,2
อิสระ-NOUN,2
ที่พัก-NOUN,1
เสา-NOUN,1
bydlofts-NOUN,1
ดีเจ-NOUN,2
ดึก-NOUN,2
สงกรานต์-NOUN,1
เทศกาล-NOUN,1
เหตุผล-NOUN,10
เมษายน-NOUN,1
จ๊าย-NOUN,1
สังข์-NOUN,1
บุคคล-NOUN,2
หวัง-NOUN,11
ซื้อ-NOUN,27
ลืม-NOUN,8
แลกเปลี่ยน-NOUN,2
วิว-NOUN,17
รี-NOUN,4
ตึก-NOUN,1
อ่าว-NOUN,5
อุณหภูมิ-NOUN,3
เนื่อง-NOUN,1
ทิศ-NOUN,3
ทั่วไป-NOUN,1
หลักฐาน-NOUN,1
ปาร์ตี้-NOUN,21
ทีม-NOUN,1
กรกฎาคม-NOUN,4
บุช-NOUN,1
บ้า-NOUN,5
หนัง-NOUN,1
รองเท้า-NOUN,3
แตะ-NOUN,1
ถนนไนท์-NOUN,1
ชนิด-NOUN,8
แตร-NOUN,1
ชั้น-NOUN,5
ทำเล-NOUN,6
ทาน-NOUN,7
ฤดู-NOUN,17
กว้าง-NOUN,2
สกูตเตอร์-NOUN,10
นาน-NOUN,3
สมบูรณ์แบบ-NOUN,2
เต้น-NOUN,1
รำ-NOUN,1
ธันวาคม-NOUN,4
บาร์ริม-NOUN,2
เวที-NOUN,1
ตั้งแต่-NOUN,6
หาดกะตะเงียบ-NOUN,1
ศูนย์-NOUN,4
ยา-NOUN,3
คอนแทคเลนส์-NOUN,1
ตรอก-NOUN,1
น่า-NOUN,2
แผ่นดี-NOUN,1
วีดี-NOUN,2
อาบแดดและ-NOUN,1
waterski-NOUN,1
ฯ-NOUN,1
สะพาย-NOUN,1
สว่างไสว-NOUN,1
มุม-NOUN,9
หนังสือ-NOUN,6
รอง-NOUN,7
สิ้นเชิง-NOUN,5
บ้าคลั่ง-NOUN,4
sportscons-NOUN,1
ใบเจ็ทสกี-NOUN,1
bhat-NOUN,5
หาบ-NOUN,4
หัว-NOUN,6
หาน-NOUN,7
ทั้งหมด-NOUN,2
เช้าตรู่-NOUN,2
อาบแดด-NOUN,1
ถนนบาง-NOUN,4
ปืน-NOUN,1
ชิงชัง-NOUN,1
ลาสเวกัส-NOUN,2
สเตียรอยด์-NOUN,1
ตระหนัก-NOUN,1
ดอลล่าร์-NOUN,1
ลองดู-NOUN,1
สัตว์-NOUN,4
เงา-NOUN,7
ธรรมชาติ-NOUN,8
ค่ำคืน-NOUN,1
จุดหมาย-NOUN,1
ปลายทาง-NOUN,1
บาร์สถานที่-NOUN,1
ยาม-NOUN,6
เขต-NOUN,3
lavetory-NOUN,1
กรณี-NOUN,4
ระดับ-NOUN,12
เบื้อง-NOUN,1
เม็กซิโก-NOUN,1
เกาะเวอร์จิน-NOUN,1
อ่างน้ำ-NOUN,1
เช่า-NOUN,5
สถานการณ์-NOUN,2
ประมาณ-NOUN,1
ถนนปาร์ตี้-NOUN,2
ปา-NOUN,1
สโมสร-NOUN,1
ลึกลับ-NOUN,1
ประเทศ-NOUN,10
มอเตอร์ไซด์-NOUN,3
รื่นรมย์-NOUN,2
katapatong-NOUN,1
อายุ-NOUN,12
พึมพำ-NOUN,1
คาเฟ่-NOUN,2
bnana-NOUN,1
เล็บ-NOUN,3
สวรรค์-NOUN,9
หาบเร่-NOUN,1
ผ่อนคลาย-NOUN,3
ถัง-NOUN,5
เสน่ห์-NOUN,3
บางลา-NOUN,2
เล็กน้อย-NOUN,2
ดาด-NOUN,2
โค้ง-NOUN,1
หนู-NOUN,1
อิสรภาพ-NOUN,2
ภูมิทัศน์-NOUN,2
ฝัน-NOUN,5
แง่-NOUN,2
ชูชีพขี่-NOUN,1
แจ่มใส-NOUN,1
ทางออก-NOUN,1
tb-NOUN,1
ขุ่น-NOUN,3
วัชพืช-NOUN,2
เหตุ-NOUN,2
หาดกะรน-NOUN,10
บานา-NOUN,6
โบ๊ทสถาน-NOUN,1
เสนอ-NOUN,3
yummiest-NOUN,1
ว่าจ้าง-NOUN,1
เสียหาย-NOUN,1
นั่น-NOUN,1
ฤดูกาลท่องเที่ยว-NOUN,1
รู้สึก-NOUN,2
หาดกะตะ-NOUN,4
nicer-NOUN,1
หาสมุทร-NOUN,1
เซิร์ฟ-NOUN,2
เจ็ทสกีชาย-NOUN,2
ชัดเจน-NOUN,5
ช้าง-NOUN,6
ฝน-NOUN,10
กฎหมาย-NOUN,6
รสเลิศ-NOUN,2
สงบ-NOUN,7
เดิน-NOUN,5
สว่าง-NOUN,1
ปัญหา-NOUN,13
แบน-NOUN,2
จัดการ-NOUN,1
สัปดาห์-NOUN,11
รีสอร์ท-NOUN,10
เร่ง-NOUN,2
หมี-NOUN,1
เจ้าหน้าที่-NOUN,9
ม้าลาย-NOUN,1
จราจร-NOUN,8
ใกล้ชาย-NOUN,2
นาฬิกา-NOUN,3
โชว์-NOUN,2
feed-NOUN,1
อัน-NOUN,2
พัทยา-NOUN,6
ปิงปอง-NOUN,1
ไป-NOUN,2
หยิบ-NOUN,1
โปรโมชั่น-NOUN,1
เกม-NOUN,5
jenga-NOUN,1
นิ้ว-NOUN,3
แทค-NOUN,1
สาวประเภทสอง-NOUN,1
หนุ่มสาว-NOUN,5
เหลือ-NOUN,1
ฟอก-NOUN,1
ลิ่งเจ็ทสกี-NOUN,1
เชิญชวน-NOUN,1
เกาะระวัง-NOUN,1
หลอกลวง-NOUN,1
ปลา-NOUN,5
เอน-NOUN,1
อัศจรรย์-NOUN,3
หาดทราย-NOUN,7
รบกวน-NOUN,9
เยี่ยม-NOUN,2
พาราร่อน-NOUN,1
แพ็ค-NOUN,1
รวดเร็ว-NOUN,5
เตรียม-NOUN,4
แรม-NOUN,10
แว่นตา-NOUN,2
แปลกใจ-NOUN,4
สบาย-NOUN,3
บริษัทพาราเซล-NOUN,1
เร่งด่วน-NOUN,1
นวดบาร์-NOUN,1
ตรงไปตรงมา-NOUN,1
แน่น-NOUN,9
ลักษณะ-NOUN,3
Baga-NOUN,1
Goa-NOUN,1
หลอด-NOUN,1
กลุ่ม-NOUN,6
บาร์ที่-NOUN,1
จักษุ-NOUN,2
แก้ว-NOUN,2
Andaman-NOUN,1
บีเอ็นบีแอร์-NOUN,1
ลำฉัน-NOUN,1
สุรา-NOUN,1
marinahotelabt-NOUN,1
frmbanglaroad-NOUN,1
aplcof-NOUN,1
จด-NOUN,2
ทะเบียน-NOUN,1
เที่ยว-NOUN,8
nfrm-NOUN,1
pickupfrmur-NOUN,1
ตู้-NOUN,1
krabi-NOUN,1
ร-NOUN,1
บัส-NOUN,2
bht-NOUN,1
thebus-NOUN,1
สถานี-NOUN,4
ทริปทูโตทูที่-NOUN,1
อุตสาหกรรม-NOUN,3
notefortravel-NOUN,1
เมืองกระบี่-NOUN,1
สถานีรถบัส-NOUN,1
ขนส่งภูเก็ต-NOUN,1
kms-NOUN,1
klkrabipatongphi2-NOUN,1
backtokrabi-NOUN,1
klia2tiscirculartripwillreapvisitin3plcs-NOUN,1
บาร์โชว์-NOUN,1
ฮันนีมูน-NOUN,1
สนุกสนาน-NOUN,7
แถบ-NOUN,3
lol-NOUN,1
บัตร-NOUN,3
เครดิต-NOUN,2
ขีดจำกัด-NOUN,1
นิยาย-NOUN,1
อบอุ่น-NOUN,1
แน่นอน-NOUN,4
ปาตง-NOUN,3
เลข-NOUN,2
ยอดเยี่ยม-NOUN,1
แท็กซี่-NOUN,10
ยานพาหนะ-NOUN,2
ทางการ-NOUN,1
นก-NOUN,2
หวีด-NOUN,1
หมา-NOUN,1
กระเป๋า-NOUN,2
เสื้อผ้า-NOUN,7
เศร้า-NOUN,6
นอกเหนือ-NOUN,2
ตา-NOUN,5
ab-NOUN,1
ประการ-NOUN,3
ไหล่-NOUN,1
เดินทาง-NOUN,2
แคนู-NOUN,1
พีพี-NOUN,9
หาดคาด-NOUN,1
หนัก-NOUN,6
ประสาท-NOUN,1
รายการ-NOUN,11
เรือง-NOUN,1
เฉื่อยชา-NOUN,1
อยาก-NOUN,1
หัวข้อ-NOUN,1
ธนาคาร-NOUN,2
สมัครใจ-NOUN,1
น้อย-NOUN,2
วิธีการ-NOUN,1
วัง-NOUN,1
ปู-NOUN,1
บริษัท-NOUN,2
ชาร์จps-NOUN,1
อยู่แล้ว-NOUN,1
con-NOUN,1
ชาติ-NOUN,7
คุณมี-NOUN,1
ฤดูกาล-NOUN,4
ยาก-NOUN,2
สงบสุข-NOUN,2
เส้นทาง-NOUN,2
หาดพาราโต้เจ็ทสกีบานา-NOUN,1
พอร์ตแบลร์-NOUN,1
ลูกน้อย-NOUN,1
โคม-NOUN,1
ชิงช้า-NOUN,1
แพง-NOUN,3
สากล-NOUN,1
อัตรา-NOUN,4
นิยม-NOUN,3
ก่อนหน้า-NOUN,6
หาดเจ็ทสกีพาราเซล-NOUN,1
หัตถกรรม-NOUN,1
อุปถัมภ์-NOUN,1
ข้าวของ-NOUN,1
คุณบน-NOUN,2
โปรด-NOUN,6
ทะเลอันดามัน-NOUN,1
ระเบิด-NOUN,2
ต่อเนื่อง-NOUN,4
เมืองเคป-NOUN,2
ค่าย-NOUN,1
รัง-NOUN,1
นุ่ม-NOUN,2
ใส-NOUN,9
มกราคม-NOUN,2
โอเค-NOUN,2
เที่ยง-NOUN,2
มลพิษ-NOUN,3
นกหวีด-NOUN,1
โบก-NOUN,1
\\u200b-NOUN,1
ธง-NOUN,6
รักษาพระองค์-NOUN,1
ปก-NOUN,1
xxx-NOUN,1
ลิ่ง-NOUN,1
บาร์บิกิ-NOUN,1
เอย-NOUN,3
มอเตอร์ไซค์-NOUN,3
สหรัฐ-NOUN,1
เว็บไซต์-NOUN,1
พาสเทล-NOUN,2
ปะการัง-NOUN,1
mtr-NOUN,1
แค่-NOUN,2
แคน-NOUN,1
บาร์เลานจ์-NOUN,1
ขา-NOUN,3
stung-NOUN,1
โรงแรม-NOUN,1
มะพร้าว-NOUN,5
สกี-NOUN,3
บังเหียน-NOUN,1
ชู-NOUN,1
ภาษา-NOUN,6
ทิศทาง-NOUN,1
ชูชีพ-NOUN,4
แขวน-NOUN,1
เง่า-NOUN,1
ไฟ-NOUN,8
ที-NOUN,16
thb-NOUN,1
หน้าหาด-NOUN,1
แพนเค้ก-NOUN,1
รางวัล-NOUN,3
ข้าวโพด-NOUN,3
ซัง-NOUN,1
บิกิ-NOUN,2
mithered-NOUN,1
บาร์บน-NOUN,1
มิถุนายน-NOUN,2
พศ-NOUN,1
จังซี-NOUN,1
ลอน-NOUN,1
เปีย-NOUN,1
เต็นท์-NOUN,1
แม่น้ำ-NOUN,4
พอ-NOUN,1
วัฒนธรรม-NOUN,6
เหยือก-NOUN,2
บาร์เรา-NOUN,1
แมลงวัน-NOUN,1
แมลง-NOUN,3
ทร้าน-NOUN,1
บาล์ม-NOUN,2
เสือ-NOUN,1
ไล่-NOUN,1
มหาสมุทร-NOUN,5
วง-NOUN,4
อัด-NOUN,1
คุ้มค่า-NOUN,2
เช่าชาย-NOUN,1
เมนู-NOUN,1
ศีรษะ-NOUN,2
น้ำเหา-NOUN,1
ถนนบางลา-NOUN,5
เท่าที่-NOUN,1
นาง-NOUN,1
เจ็ทสกีการ-NOUN,1
พาราการ-NOUN,1
ช่วยเหลือ-NOUN,1
ขรุขระ-NOUN,2
สัญชาติ-NOUN,1
รูปลักษณ์-NOUN,1
กาย-NOUN,4
แต่ละ-NOUN,1
ชัด-NOUN,1
สกีลง-NOUN,1
หรูหรา-NOUN,2
เศรษฐกิจ-NOUN,1
พนักงาน-NOUN,13
ตาราง-NOUN,1
เต็มที่-NOUN,2
ตำแหน่ง-NOUN,2
ประเทศบังคลาเทศ-NOUN,1
ทะเลbazar-NOUN,1
cox-NOUN,1
ตกปลา-NOUN,1
ว่ายน้ำ-NOUN,4
พร้อม-NOUN,4
เมฆ-NOUN,1
แม่ค้า-NOUN,1
ท้องที่-NOUN,1
ชิมไก่-NOUN,1
ถนนบางลาร้าน-NOUN,1
ตุลาคม-NOUN,4
เขียว-NOUN,1
น้ำตาล-NOUN,6
รู-NOUN,1
เจ็ทสกีร่ม-NOUN,1
เป็นต้น-NOUN,2
เมกกะ-NOUN,2
เนื้อ-NOUN,2
บาร์บีคิว-NOUN,1
ด่วน-NOUN,3
เคย-NOUN,1
biryani-NOUN,1
นายแมนน์-NOUN,1
ด้อย-NOUN,1
สิทธิ์-NOUN,1
สดใส-NOUN,1
พีคซี-NOUN,1
ตื้นที่-NOUN,1
ดีล-NOUN,1
หาดหาดป่า-NOUN,1
ใจกลาง-NOUN,1
บาร์หาก-NOUN,1
ทำใจ-NOUN,1
พระจันทร์เสี้ยว-NOUN,1
ว่างเปล่า-NOUN,1
พลาด-NOUN,4
แตก-NOUN,1
ลากร่ม-NOUN,1
หลัง-NOUN,2
แถว-NOUN,6
หาดเนิน-NOUN,1
คลับ-NOUN,2
มรกต-NOUN,1
ใกล้-NOUN,2
และสปา-NOUN,1
ปริมาณ-NOUN,5
จริง-NOUN,1
เสีย-NOUN,2
ประทับใจ-NOUN,3
สามี-NOUN,9
ราไวย์-NOUN,3
ข้าว-NOUN,4
หาดป่าตอง-NOUN,1
ช้อปว่าย-NOUN,1
หลับ-NOUN,2
เพศ-NOUN,4
วัย-NOUN,6
พก-NOUN,1
ฝึกอบรม-NOUN,1
รูบิชา-NOUN,1
ร่มชูชีพ-NOUN,2
ตลก-NOUN,1
offcoirse-NOUN,1
สีสัน-NOUN,1
แต่อย่า-NOUN,1
เต้นท์-NOUN,1
สลิป-NOUN,1
ตบ-NOUN,1
สปอร์ต-NOUN,1
มากร่ม-NOUN,1
ปาก-NOUN,2
หา-NOUN,2
ด-NOUN,1
หมาย-NOUN,4
แอคชั่น-NOUN,1
สุนัข-NOUN,3
เตร่-NOUN,1
พอใจ-NOUN,4
ตุ-NOUN,1
malaysiasoftsand-NOUN,1
หินแหลม-NOUN,1
บาร์ดี-NOUN,1
มรสุม-NOUN,1
อันตราย-NOUN,5
โลชั่น-NOUN,1
ผืน-NOUN,3
หาดพยงค์-NOUN,1
ตะขอ-NOUN,1
รุม-NOUN,1
บริสุทธิ์-NOUN,3
อุปสรรค-NOUN,1
เปลือก-NOUN,1
แสบ-NOUN,1
ตุ๊กตา-NOUN,1
พกพา-NOUN,1
พายุ-NOUN,2
มากมี-NOUN,1
ไอศกรีม-NOUN,2
ตองระแนง-NOUN,1
ขรม-NOUN,2
timeshare-NOUN,1
เร่งเร้า-NOUN,1
มนุษยชาติ-NOUN,1
มลทิน-NOUN,1
น-NOUN,9
ตื่น-NOUN,1
แผงขาย-NOUN,2
แยม-NOUN,1
อารมณ์-NOUN,1
หน้าอก-NOUN,2
ห้า-NOUN,1
บรรดา-NOUN,1
หลวง-NOUN,1
ยุค-NOUN,2
แหลมสิงห์-NOUN,1
barn-NOUN,1
โรแมนติก-NOUN,1
สะอาดตา-NOUN,1
อัปยศ-NOUN,3
ถูกใจ-NOUN,1
ง่าย-NOUN,1
รูปภาพ-NOUN,1
เกาะภูเก็ต-NOUN,2
คลับคุณ-NOUN,1
เพราะ-NOUN,1
กม-NOUN,5
สปา-NOUN,2
สาเหตุ-NOUN,1
บีบ-NOUN,1
ม้า-NOUN,3
ผล-NOUN,2
หาย-NOUN,5
ซอย-NOUN,1
รู้-NOUN,1
ishpatong-NOUN,1
กระดาน-NOUN,3
มายาเบย์แบมบูร่มร่อน-NOUN,1
ปลอม-NOUN,9
