en,th
"visited in december. the weather was pleasant, a bit on the warmer side. maintained beach but could be a little cleaner. a lot of activities here including parasailing but with no life guard on duty. many food stalls along the beach. best to rent a scooter and explore the entire beach. volleyball nets available. thb two hundred for chair",เข้าชมในเดือนธันวาคม อากาศดีมากอากาศอุ่น ชายหาดได้รับการดูแลรักษา แต่อาจจะสะอาดกว่านี้ กิจกรรมมากมายที่นี่รวมถึงการเล่นพาราเซล แต่ไม่มีเจ้าหน้าที่รักษาความปลอดภัยประจำหน้าที่ แผงขายอาหารมากมายริมหาด ดีที่สุดในการเช่าสกู๊ตเตอร์และสำรวจชายหาดทั้งหมด มีมุ้งวอลเลย์บอล เก้าอี้สองร้อยบาท
"great beach, clean and well kept and absolutely safe even at odd hours. close to anything one may want like a 7/11 or a money changer. walkable distance to most of the hostels and places of interest in the area. plenty of eating options- from the market serving fresh fish to small shops where locals eat. all within walking distance so one may explore on foot",ชายหาดที่ดีสะอาดและเก็บไว้อย่างดีและปลอดภัยอย่างแน่นอนแม้ในเวลาที่แปลก ใกล้เคียงกับสิ่งใดสิ่งหนึ่งที่อาจต้องการเช่น 7/11 หรือแลกเงิน ระยะทางเดินไปยังหอพักและสถานที่น่าสนใจในพื้นที่ส่วนใหญ่ ตัวเลือกการกินมากมาย - จากตลาดที่ให้บริการปลาสดไปจนถึงร้านค้าเล็ก ๆ ที่คนในท้องถิ่นกิน ทั้งหมดอยู่ในระยะที่สามารถเดินเท้าได้
"patong beach- one of the most popular beach in the island, full of life all the time. it is right in the middle of all the action, water sports, partying, etc etc. you can find a bunch of restaurants, spas, and bars for the full range of experiences.",หาดป่าตอง - หนึ่งในชายหาดที่ได้รับความนิยมมากที่สุดในเกาะซึ่งเต็มไปด้วยสิ่งมีชีวิตตลอดเวลา มันอยู่ตรงกลางของทุกกิจกรรมกีฬาทางน้ำปาร์ตี้และอื่น ๆ คุณสามารถค้นหาร้านอาหารสปาและบาร์สำหรับประสบการณ์ที่หลากหลาย
a bit crowded but still one of the best spots in phuket to capture sunset. you can bring you all foods and drinks to enjoy the view here with friends.,ค่อนข้างแออัด แต่ก็ยังคงเป็นจุดที่ดีที่สุดแห่งหนึ่งในจังหวัดภูเก็ตเพื่อชมพระอาทิตย์ตก คุณสามารถนำอาหารและเครื่องดื่มทั้งหมดมาให้คุณได้เพลิดเพลินกับวิวที่นี่กับเพื่อน ๆ
"not a clean beach, but they had a seating area at the beach for two hundred baht for two beach chairs. the water around december is quite warm, and i went at ten am. the hotel is stay at offers a shuttle ride to the beach, but the ride was a ten minute drive if i am estimating correctly. it was a short ride. the shuttle picks you up to go back to the hotel too. just have to go by the scheduled times for drop off and pick up according to the hotel. i would recommend bringing your own towel from your hotel. the beach does not offer towels. there are a lot of street food vendors though. anything from coconut drinks to hot foods cooked and served right on the street. i bought chicken kebabs, roti pancake with banana and sweet milk, morning glory, fried prawn balls, pork with chinese vegetables. if you walk further down to wear the shopping district area is, you will pass by the food market where they were just beginning to set up but have not opened yet. they also offer massages at the beach on top of many others trying to sell tourists things such as grapefruits and fried foods, beach cover- ups, and sunglasses knockoff ray- bans.","ไม่ใช่ชายหาดที่สะอาด แต่มีพื้นที่นั่งเล่นที่ชายหาดสองร้อยบาทสำหรับเก้าอี้ชายหาดสองตัว น้ำรอบ ๆ เดือนธันวาคมค่อนข้างอบอุ่นและฉันไปตอนสิบโมง โรงแรมอยู่ที่ข้อเสนอบริการรถรับส่งไปยังชายหาด แต่นั่งก็ขับรถสิบนาทีถ้าฉันประเมินอย่างถูกต้อง มันเป็นระยะทางสั้น ๆ รถรับส่งไปรับคุณเพื่อกลับไปที่โรงแรมด้วย เพียงแค่ต้องไปตามเวลาที่กำหนดสำหรับการส่งและรับตามโรงแรม ฉันขอแนะนำให้นำผ้าขนหนูมาเองจากโรงแรมของคุณ ชายหาดไม่มีผ้าเช็ดตัว มีผู้ค้าอาหารข้างถนนมากมาย อะไรก็ได้ตั้งแต่เครื่องดื่มน้ำมะพร้าวไปจนถึงอาหารจานร้อนที่ปรุงและเสิร์ฟบนถนน ฉันซื้อเคบับไก่, โรตีแพนเค้กกับกล้วยและนมหวาน, ผักบุ้ง, ลูกกุ้งทอด, หมูกับผักจีน ถ้าคุณเดินต่อไปเพื่อสวมใส่ย่านช็อปปิ้งคุณจะผ่านตลาดอาหารที่พวกเขาเพิ่งเริ่มตั้ง แต่ยังไม่เปิด พวกเขายังเสนอบริการนวดที่ชายหาดด้านบนของคนอื่น ๆ พยายามขายสิ่งที่นักท่องเที่ยวเช่นเกรฟฟรุ๊ตและอาหารทอด, cover-ups ชายหาดและแว่นตากันแดด knockoff rayans"
"it is very famous among tourist and you will always find this beach crowded. so if you are looking for some peace and me time, this are not the beach. on the other hand, if you are up for some water sports like jet ski or para gliding, this is the place to be. also lot of bars around the beach which are quite lively",มันมีชื่อเสียงมากในหมู่นักท่องเที่ยวและคุณมักจะพบกับชายหาดที่แออัด ดังนั้นหากคุณกำลังมองหาความสงบและเวลาฉันนี่ไม่ใช่ชายหาด ในทางกลับกันหากคุณมีความสนใจในกีฬาทางน้ำเช่นเจ็ทสกีหรือพาราร่อนนี่คือสถานที่ที่จะเป็น ยังมีบาร์มากมายรอบ ๆ ชายหาดซึ่งค่อนข้างมีชีวิตชีวา
"beautiful beach with great waters for water sports like jet skis. be prepared for lots of haggling if you are interested in water sports, all the printed prices are around double of what the real prices are. lots of great places to eat at walking distance, remember to wear lots of sun screen and drink lots of water as it can get quite sunny",ชายหาดที่สวยงามพร้อมน้ำที่ยอดเยี่ยมสำหรับกีฬาทางน้ำเช่นเจ็ทสกี เตรียมพร้อมสำหรับการต่อรองมากมายหากคุณสนใจกีฬาทางน้ำราคาพิมพ์ทั้งหมดประมาณสองเท่าของราคาจริง มีสถานที่กินมากมายในระยะที่เดินได้อย่าลืมสวมแว่นตากันแดดเยอะ ๆ และดื่มน้ำมาก ๆ เพราะมันจะมีแดดจัด
"quite nice beach with beautiful views, warm blue water and yellow sand. lots of thai food, fruits and drinks sold nearby. close to city streets, bars and shops. not as crowded as karon beach or few others. you will enjoy relaxing there.","ชายหาดสวยมากพร้อมวิวที่สวยงาม, น้ำทะเลสีฟ้าอบอุ่นและหาดทรายสีเหลือง จำหน่ายอาหารไทยผลไม้และเครื่องดื่มมากมายในบริเวณใกล้เคียง ใกล้ถนนในเมืองบาร์และร้านค้า ไม่แออัดเหมือนหาดคารอนหรือคนอื่นน้อย คุณจะเพลิดเพลินไปกับการพักผ่อนที่นั่น"
"the best and most happening beach in phuket. this place is always full of tourists. one can also do parasailing, jet skiing etc. but do negotiate the cost beforehand. great place to spend time in the evening and have a bath as well. the beach is very clean and full of pubs nearby.",ชายหาดที่ดีที่สุดและเกิดขึ้นมากที่สุดในจังหวัดภูเก็ต สถานที่แห่งนี้เต็มไปด้วยนักท่องเที่ยวเสมอ ท่านสามารถเล่นพาราเซลเจ็ทสกีเป็นต้น แต่สามารถต่อรองราคาล่วงหน้าได้ สถานที่ที่เหมาะสำหรับการใช้เวลาในตอนเย็นและมีอ่างอาบน้ำเช่นกัน ชายหาดสะอาดมากและเต็มไปด้วยผับในบริเวณใกล้เคียง
"very nice beach, with everything to buy on the beach or near, watersports, large for five km, and tide friendly even in the low tide is a good beach. no showers however.",ชายหาดสวยมากมีทุกอย่างที่จะซื้อบนชายหาดหรือใกล้กับกีฬาทางน้ำที่มีขนาดใหญ่ห้ากิโลเมตรและเป็นมิตรกับน้ำขึ้นน้ำลงแม้ในช่วงน้ำลงเป็นชายหาดที่ดี ไม่มีที่อาบน้ำ
not the cleanest and best beach in phuket. that has to be kata karon beach. but this beach is lively located very close to the night life and all the happening places in phuket. this is a beach to chill for a while before you hit the shopping or party scene hard,ไม่ใช่ชายหาดที่สะอาดและดีที่สุดในภูเก็ต นั่นต้องเป็นหาดกะตะกะรน แต่ชายหาดนี้มีชีวิตชีวาตั้งอยู่ใกล้กับสถานบันเทิงยามค่ำคืนและสถานที่ที่เกิดขึ้นในจังหวัดภูเก็ต นี่เป็นชายหาดที่ทำใจให้สบายก่อนที่คุณจะไปช้อปปิ้งหรือปาร์ตี้อย่างหนัก
"beautiful beach. crowded due to its popularity as expected, so go elsewhere if you are not comfortable with this two hundred baht for hiring two chairs and one umbrella for the day which is great. drink food prices reasonable",ชายหาดที่สวยงาม แออัดเนื่องจากความนิยมตามที่คาดไว้ดังนั้นไปที่อื่นถ้าคุณไม่สะดวกกับสองร้อยบาทสำหรับการจ้างเก้าอี้สองตัวและร่มหนึ่งสำหรับวันที่ดี ดื่มราคาอาหารที่เหมาะสม
very nice location but i was bitten by alot of fleas there. my legs were ruined there. eighty-three spots on both legs in an hour.,ทำเลที่ตั้งดีมาก แต่ฉันถูกกัดโดยหมัดที่นั่นมาก ขาของฉันถูกทำลายที่นั่น จุดแปดสิบสามบนขาทั้งสองข้างในหนึ่งชั่วโมง
"not clean at all and lots of people bother you to try and sell you something, better at night",ไม่สะอาดเลยและมีผู้คนมากมายที่รบกวนคุณและพยายามขายคุณบางอย่างให้ดีขึ้นในเวลากลางคืน
clean beach. early morning swims with quiet waves is what anyone would wish for in a holiday. lovely park around. has quite a lot of sun beds. loved this place,ชายหาดที่สะอาด ตอนเช้าว่ายน้ำกับคลื่นที่เงียบสงบเป็นสิ่งที่ทุกคนต้องการในวันหยุด สวนสาธารณะที่น่ารักรอบ ๆ มีเตียงอาบแดดค่อนข้างมาก ชอบที่นี่มาก
"beautiful beach. especially when it is less busy. walk down and being a beach towel and enjoy the sun and the swim. waves are calm. throughout the day there are plenty of locals trying to sell you something. plenty of offered activities such as jetski, banana boat, donuts, parachuting and so on. there are toilet blocks on the beach. may cost you a few baht for use. if you see a local called mike trying get you to buy tourism packages, i recommend him.","ชายหาดที่สวยงาม โดยเฉพาะอย่างยิ่งเมื่อมันยุ่งน้อย เดินลงและเป็นผ้าขนหนูชายหาดและเพลิดเพลินกับดวงอาทิตย์และว่ายน้ำ คลื่นสงบ ตลอดทั้งวันมีชาวบ้านมากมายพยายามขายของคุณ มีกิจกรรมที่นำเสนอมากมายเช่น jetski, เรือกล้วย, โดนัท, กระโดดร่มและอื่น ๆ มีบล็อกห้องน้ำอยู่บนชายหาด อาจมีค่าใช้จ่ายไม่กี่บาทสำหรับการใช้งาน หากคุณเห็นไมค์ที่เรียกว่าท้องถิ่นพยายามพาคุณไปซื้อแพ็คเกจการท่องเที่ยวฉันแนะนำเขา"
"nice experience, beach is clean and beautiful place to relax.",ประสบการณ์ที่ดีชายหาดสะอาดและสวยงามเหมาะแก่การพักผ่อน
"nice, but local sellers are heavy talkers and sticky, smoking is not allowed at the beach which is awful",ดี แต่ผู้ขายในท้องถิ่นเป็นนักพูดหนักและเหนียวไม่อนุญาตให้สูบบุหรี่ที่ชายหาดซึ่งน่ากลัว
"had a great time in patong beach. clean beach with very fine sands. the waves at the beach go up and down all day gives a wonderful swimming experience. i tried the parasailing at one thousand, three hundred baht but for only four minutes. expensive but great experience",มีช่วงเวลาที่ดีในหาดป่าตอง ชายหาดที่สะอาดพร้อมหาดทรายที่สวยงามมาก คลื่นที่ชายหาดขึ้นและลงทั้งวันให้ประสบการณ์การว่ายน้ำที่ยอดเยี่ยม ฉันลองเล่นพาราเซลที่หนึ่งพันสามร้อยบาท แต่ใช้เวลาเพียงสี่นาที ประสบการณ์ราคาแพง แต่เยี่ยมยอด
"clean, beautiful and lively. they charge three hundred baht for an umbrella and two loungers during daytime. you can sit there and relax as long as you want. they sell drinks and fruits there also. another option, you can buy your own mat and there is a designated area for free seating. you can buy your drinks and food from outside and have it there.",สะอาดสวยงามและมีชีวิตชีวา พวกเขาคิดเงินสามร้อยบาทสำหรับร่มและเก้าอี้สองตัวในเวลากลางวัน คุณสามารถนั่งที่นั่นและผ่อนคลายได้นานเท่าที่คุณต้องการ พวกเขาขายเครื่องดื่มและผลไม้ที่นั่นเช่นกัน อีกตัวเลือกหนึ่งคุณสามารถซื้อเสื่อของคุณเองและมีพื้นที่กำหนดไว้สำหรับที่นั่งฟรี คุณสามารถซื้อเครื่องดื่มและอาหารจากข้างนอกแล้วซื้อได้
"worst experience in my life. do not bother come in here for new year. over crowded and the traffic controller prioritise cars and bikes over pedestrians. screaming move move and pushing people. i got tased, kids around were crying. it is a nightmare. it will ruin your trip. do not come to patong. phuket is not even good. there are a lot of better places to go in thailand.",ประสบการณ์ที่เลวร้ายที่สุดในชีวิตของฉัน อย่ามาที่นี่เพื่อปีใหม่ ที่แออัดและผู้ควบคุมการจราจรให้ความสำคัญกับรถยนต์และจักรยานมากกว่าคนเดินเท้า กรีดร้องย้ายย้ายและผลักดันคน ฉันได้รับการทารุณเด็ก ๆ กำลังร้องไห้ มันเป็นฝันร้าย มันจะทำลายการเดินทางของคุณ อย่ามาที่ป่าตอง ภูเก็ตยังไม่ดี มีหลายสถานที่ที่ดีกว่าที่จะไปในประเทศไทย
"a nice beach, a lot of water- based attraction like banana boat or flying with reasonable price, not quite clean but the view during the sunset is really good.",เป็นชายหาดที่สวยงามแหล่งท่องเที่ยวทางน้ำมากมายเช่นบานาน่าโบ๊ตหรือบินด้วยราคาที่สมเหตุสมผลไม่ค่อยสะอาด แต่วิวในช่วงพระอาทิตย์ตกดินก็ดีจริงๆ
beautiful beach but there is so much commercialization. prices of goods and services around are also sky high. beach is still good for relaxing overall.,ชายหาดที่สวยงาม แต่มีการค้าขายมากมาย ราคาสินค้าและบริการรอบ ๆ ก็สูงขึ้นเช่นกัน ชายหาดยังคงดีสำหรับการผ่อนคลายโดยรวม
patong beach is good beach on the road side and you can see crowd enjoying and relaxing there. there are few hotels and resorts nearby and also walking street is nearby so you can enjoy the evenings there too. if you want to enjoy beach like a private experience go at the beach side which is just in front of the novotel resort.,หาดป่าตองเป็นชายหาดที่ดีบนถนนและคุณสามารถเห็นฝูงชนเพลิดเพลินและผ่อนคลายที่นั่น มีโรงแรมและรีสอร์ทไม่กี่แห่งในบริเวณใกล้เคียงและถนนคนเดินก็อยู่ใกล้ ๆ ดังนั้นคุณสามารถเพลิดเพลินกับตอนเย็นที่นั่นได้เช่นกัน หากคุณต้องการเพลิดเพลินไปกับชายหาดเหมือนประสบการณ์ส่วนตัวไปที่ชายหาดซึ่งอยู่หน้ารีสอร์ทโนโวเทล
"it is a lovely place, lovely beach, you can enjoy here throughout the day and night also, all kind of water sports are available here, you can enjoy the same or just lay down and enjoy the beautiful sea, you can also take bath in the sea. nightlife is also very happening over here, you can do lots of activities. also you can find variety of food and drinks in the restaurant along with the beach.",มันเป็นสถานที่ที่น่ารักชายหาดที่สวยงามคุณสามารถเพลิดเพลินกับที่นี่ตลอดทั้งวันทั้งคืนกีฬาทางน้ำทุกชนิดมีให้ที่นี่คุณสามารถเพลิดเพลินกับที่เดียวกันหรือเพียงแค่นอนลงและเพลิดเพลินกับทะเลที่สวยงามคุณยังสามารถอาบน้ำใน ทะเล. สถานบันเทิงยามค่ำคืนก็เกิดขึ้นที่นี่คุณสามารถทำกิจกรรมมากมาย คุณยังสามารถหาอาหารและเครื่องดื่มหลากหลายในร้านอาหารพร้อมกับชายหาด
