en,th
"this is a buddhist temple. the entry inside the temple closes at 3:00 pm local time, but you can still go inside and walk around. very peaceful and you can take pictures around. you would have a lot of opportunities to play around with light and focus if you are a photographer. sunflower garden adds to the beauty of the temple.",นี่คือวัดที่นับถือศาสนาพุทธ รายการภายในวัดปิดเวลา 15.00 น. ตามเวลาท้องถิ่น แต่คุณยังสามารถเข้าไปข้างในและเดินไปรอบ ๆ สงบมากและคุณสามารถถ่ายรูป คุณจะมีโอกาสมากมายที่จะเล่นกับแสงและโฟกัสถ้าคุณเป็นช่างภาพ สวนดอกทานตะวันช่วยเพิ่มความสวยงามของวัด
"it has one of the most important buddhist temple in phuket. it is also very much popular with the tourist. the buddha statues are magnificent and from the top of the temple you can see a beautiful view. there are more than one hundred buddha statues inside and on top of the tomb, is a craving which depicts buddha 's samadhi. you will find eternal peace here. you are not allowed to touch any statues of buddha and you are not allowed to wear a sunglass as well.",มันเป็นหนึ่งในวัดที่สำคัญที่สุดในจังหวัดภูเก็ต เป็นที่นิยมของนักท่องเที่ยวเป็นอย่างมาก รูปปั้นของพระพุทธเจ้านั้นงดงามมากและจากส่วนบนสุดของวัดคุณจะเห็นทิวทัศน์ที่สวยงาม มีมากกว่าหนึ่งร้อยรูปปั้นพระพุทธรูปทั้งด้านในและด้านบนของหลุมฝังศพเป็นความอยากซึ่งแสดงให้เห็นพระพุทธรูปของ samadhi คุณจะพบความสงบสุขชั่วนิรันดร์ที่นี่ คุณไม่ได้รับอนุญาตให้สัมผัสรูปปั้นใด ๆ ของพระพุทธเจ้าและคุณไม่ได้รับอนุญาตให้สวมแว่นกันแดดเช่นกัน
the famous buddhist temple in phuket. you can visit the temple on the way to big buddha. mostly a crowded place. please make sure to dress accordingly.,วัดที่มีชื่อเสียงในจังหวัดภูเก็ต คุณสามารถเยี่ยมชมวัดระหว่างทางไปพระพุทธรูปองค์ใหญ่ ส่วนใหญ่เป็นสถานที่แออัด โปรดให้แน่ใจว่าได้แต่งตัวตาม
"the wat chalong is some must- see place being a tourist in phuket. at the biggest wat in the area you can meet locals as well and see them doing their merits. it is not a loud place but as in every other wat as well, laughing is not forbidden.",วัดฉลองเป็นสถานที่ที่นักท่องเที่ยวไม่ควรพลาด ที่วัดที่ใหญ่ที่สุดในพื้นที่คุณสามารถพบปะกับคนในท้องถิ่นและเห็นพวกเขากำลังทำบุญ มันไม่ได้เป็นสถานที่ที่มีเสียงดัง แต่ในวัดอื่น ๆ เช่นกันหัวเราะไม่ได้รับอนุญาต
beautiful buddha temple is so divine and colourful. i loved the architecture of this temple. do not miss this temple if you are in phuket.,วัดพระพุทธรูปที่สวยงามนั้นศักดิ์สิทธิ์และมีสีสัน ฉันรักสถาปัตยกรรมของวัดนี้ อย่าพลาดวัดนี้หากคุณอยู่ในภูเก็ต
"prettiest temple on the island. unfortunately full of rude people who have zero manners or respect towards buddha. the wearing of shoes or hats in a temple is prohibited, but tell that to the blissful ignorant. still worth a visit if you can close your eyes to these things.",วัดที่สวยที่สุดบนเกาะ น่าเสียดายที่เต็มไปด้วยคนหยาบคายที่มีมารยาทเป็นศูนย์หรือเคารพพระพุทธรูป ห้ามสวมรองเท้าหรือหมวกในพระวิหาร แต่บอกสิ่งนั้นกับคนโง่เขลาที่มีความสุข ยังคงมีค่าเข้าชมหากคุณสามารถปิดตาของคุณกับสิ่งเหล่านี้
nice place with lot of history and tremendous buildings. the only bad thing is that you have to dressed up and you have to buy or rent clothes outside the palace in order to enter it. the row is not big so you do not have to wait so long. it takes about two and a half hours to explore all the building so take some water with you and be prepared with the proper clothes with long sleeves sunglasses and maybe a hat,สถานที่ที่ดีกับประวัติศาสตร์และอาคารมากมาย สิ่งเดียวที่ไม่ดีคือคุณต้องแต่งตัวและต้องซื้อหรือเช่าเสื้อผ้านอกวังเพื่อที่จะเข้าไป แถวไม่ใหญ่ดังนั้นคุณไม่ต้องรอนาน ใช้เวลาประมาณสองชั่วโมงครึ่งในการสำรวจอาคารทั้งหมดดังนั้นจึงใช้น้ำกับคุณและเตรียมเสื้อผ้าที่เหมาะสมกับแว่นกันแดดแขนยาวและหมวก
"very beautiful. it is good to religious ppl- this fact alone brings order & discipline in life. when a country lacks faith in religion, like the u.  s. , there is mayhem chaos & divisions",สวยมาก. เป็นการดีที่จะนับถือศาสนา - ความจริงข้อนี้ทำให้เกิดระเบียบและวินัยในชีวิต เมื่อประเทศขาดศรัทธาในศาสนาเช่นเดียวกับคุณ s มีความโกลาหลและความโกลาหล
very beautiful temple and the architecture was really excellent. you will get inner peace when you go there. one of the best temple in phuket,วัดที่สวยงามมากและสถาปัตยกรรมนั้นยอดเยี่ยมจริงๆ คุณจะได้รับความสงบภายในเมื่อคุณไปที่นั่น หนึ่งในวัดที่ดีที่สุดในจังหวัดภูเก็ต
"beautiful temple with good access, parking and facilities. felt peaceful even with lot of people around. lots of well- placed rocks under shade to meditate or relax.",วัดสวยงามพร้อมที่จอดรถและสิ่งอำนวยความสะดวก รู้สึกสงบแม้จะมีผู้คนมากมายอยู่รอบ ๆ หินวางอยู่ใต้ร่มเงาจำนวนมากเพื่อทำสมาธิหรือพักผ่อน
despite it being a public holiday it felt easy to get around. there were crowds but there were no queues. in places it felt serene. we could meditate and just be. crackers are set off in the cracker chimney and are really loud,แม้จะเป็นวันหยุดนักขัตฤกษ์ แต่ก็สามารถเดินทางไปมาได้ง่าย มีฝูงชน แต่ไม่มีคิว ในสถานที่มันรู้สึกเงียบสงบ เราสามารถนั่งสมาธิและเป็นเพียง แครกเกอร์ถูกวางไว้ในปล่องไฟแคร็กเกอร์และดังมาก
a beautiful temple with brilliant architecture and paintings. very peaceful. has a dress code as it is a holy place.,วัดที่สวยงามพร้อมสถาปัตยกรรมอันงดงามและภาพวาด สงบสุขมาก มีการแต่งกายราวกับเป็นสถานที่ศักดิ์สิทธิ์
beautiful place. must visit place in phuket. we could witness rich culture and glory of buddhism,สถานที่ที่สวยงาม. จะต้องเยี่ยมชมสถานที่ในจังหวัดภูเก็ต เราสามารถเห็นวัฒนธรรมที่หลากหลายและศักดิ์ศรีของพุทธศาสนา
"famous attrations have a lot of overseas visitors and locals, temples and the pagoda are well maintained and keep tidy. with bare feet walking up both of them and viewing the buddhas in each level giving you a peaceful mind and recap the beautiful moments of the pass.",สถานที่ที่มีชื่อเสียงมีผู้เยี่ยมชมจากต่างประเทศและคนในท้องถิ่นวัดและเจดีย์ได้รับการดูแลอย่างดีและเป็นระเบียบเรียบร้อย ด้วยเท้าเปล่าที่เดินขึ้นไปทั้งคู่และดูพระพุทธรูปในแต่ละระดับจะช่วยให้คุณมีความสงบสุขและสรุปช่วงเวลาที่สวยงามผ่าน
"nice and relaxing atmosphere, however its really touristic spot with many tour group, so if you want to go somewhere for a peace of mind this place might not provide that. but if you need to visit a temple with well manage and beautiful scene to take a photo and make a wish in the same place, this place is the answer.",บรรยากาศที่ดีและผ่อนคลาย แต่เป็นจุดท่องเที่ยวที่มีกลุ่มทัวร์มากมายดังนั้นหากคุณต้องการเดินทางไปที่ไหนสักแห่งเพื่อความสงบของจิตใจที่นี่อาจไม่ได้ให้สิ่งนั้น แต่ถ้าคุณต้องการเยี่ยมชมวัดที่มีการจัดการที่ดีและฉากที่สวยงามเพื่อถ่ายภาพและขอพรในสถานที่เดียวกันสถานที่แห่งนี้คือคำตอบ
chalong temple is one of the most popular and holy temple in phuket. very beautiful temple and surrounded by good nature views. a must to visit place in thailand.,วัดฉลองเป็นหนึ่งในวัดที่ได้รับความนิยมและศักดิ์สิทธิ์ที่สุดในจังหวัดภูเก็ต วัดที่สวยงามมากและล้อมรอบด้วยวิวธรรมชาติที่ดี ต้องไปสถานที่ในประเทศไทย
peaceful place to spend some time. it has many small temples. the architecture of the temples signify the thai culture. people also perform some rituals in the temples. i wish there was a guide to explain about these temples and their history. otherwise the place has got some boards explained about the particular place. they have parking place for tourist vehicles. it takes about half an hour to visit all the temples in this place.,สถานที่สงบสุขที่จะใช้เวลา มันมีวัดเล็ก ๆ มากมาย สถาปัตยกรรมของวัดมีความหมายถึงวัฒนธรรมไทย ผู้คนก็ประกอบพิธีกรรมบางอย่างในวัด ฉันหวังว่าจะมีไกด์อธิบายเกี่ยวกับวัดเหล่านี้และประวัติของพวกเขา มิเช่นนั้นสถานที่ก็มีกระดานอธิบายเกี่ยวกับสถานที่นั้น ๆ พวกเขามีที่จอดรถสำหรับยานพาหนะท่องเที่ยว ใช้เวลาประมาณครึ่งชั่วโมงในการเยี่ยมชมวัดทั้งหมดในสถานที่นี้
"very beautiful and calm place. this place has a history and mythical links to buddha 's life. there are some beliefs about buddha for which people here have made certain rules, and i request everyone to kindly abide by them. a very peculiar ritual i observed here is that when people 's wishes get fulfilled they come back here to burst crackers to show their happiness. the temple complex even has a chimney for this.",สถานที่ที่สวยงามและเงียบสงบมาก สถานที่แห่งนี้มีประวัติและการเชื่อมโยงที่เป็นตำนานกับชีวิตของพระพุทธเจ้า มีความเชื่อเกี่ยวกับพระพุทธเจ้าที่ผู้คนที่นี่ได้สร้างกฎบางอย่างและฉันขอให้ทุกคนปฏิบัติตามอย่างสุภาพ พิธีกรรมที่แปลกประหลาดมากที่ฉันสังเกตเห็นที่นี่คือเมื่อผู้คนปรารถนาที่จะเติมเต็มพวกเขากลับมาที่นี่เพื่อระเบิดแครกเกอร์เพื่อแสดงความสุขของพวกเขา คอมเพล็กซ์ของวัดยังมีปล่องไฟสำหรับสิ่งนี้
amazing experience with our guide explaining things and showing us what to do at each point in the visit. would go again as it was abit rushed and i eoukd have liked more time there.,ประสบการณ์ที่น่าทึ่งกับไกด์ของเราอธิบายสิ่งต่าง ๆ และแสดงให้เราเห็นว่าต้องทำอะไรในแต่ละจุดในการเยี่ยมชม จะไปอีกครั้งเพราะมันรีบหน่อยและฉันก็ชอบเวลามากขึ้น
this is my go to place to send off prayers and show gratitude. i love visiting the temples every two weeks or so. never ceases to amaze me.,นี่คือสถานที่ของฉันที่จะส่งคำอธิษฐานออกไปและแสดงความขอบคุณ ฉันชอบไปวัดทุกสองสัปดาห์หรือมากกว่านั้น อย่าหยุดทำให้ฉันประหลาดใจ
great place to explore local temple. people should be mindful of their clothing here as it is a religious place,สถานที่ที่เหมาะสำหรับการสำรวจวัดในท้องถิ่น คนควรระวังเสื้อผ้าของพวกเขาที่นี่เพราะเป็นสถานที่ทางศาสนา
"we visited this temple complex as part of our city tour. its a huge temple complex comprising of a lot of different temples. the architecture is just amazing. you can spend hours just observing the beautiful colors and designs on d temple. we spent about half an hour here, since that was d time alloted by our tour guy. once you enter d temple, you feel d peace n quietness inside u.  its just so peaceful here. do not miss out on this visit.",เราไปเยี่ยมชมคอมเพล็กซ์ของวัดแห่งนี้ซึ่งเป็นส่วนหนึ่งของทัวร์ชมเมืองของเรา มันเป็นวัดที่ซับซ้อนขนาดใหญ่ซึ่งประกอบไปด้วยวัดที่แตกต่างกันมากมาย สถาปัตยกรรมนั้นยอดเยี่ยมมาก คุณสามารถใช้เวลาหลายชั่วโมงในการสังเกตสีสันและลวดลายที่สวยงามบนวิหาร d เราใช้เวลาประมาณครึ่งชั่วโมงที่นี่เนื่องจากเป็นเวลาที่ได้รับการจัดสรรโดยคนทัวร์ของเรา เมื่อคุณเข้าไปในวัดแล้วคุณจะรู้สึกถึงความสงบและความเงียบสงบภายในตัวคุณ มันเงียบสงบมากที่นี่ อย่าพลาดในการเยี่ยมชมนี้
"good place to visit, but there should be proper boarding in english to explain the significance. this was better then bug budha not so commercial",เป็นสถานที่ที่น่าไปเยี่ยมชม แต่ควรมีการขึ้นเครื่องเป็นภาษาอังกฤษอย่างเหมาะสมเพื่ออธิบายความสำคัญ นี้ดีกว่าแล้ว bug budha ไม่เชิงพาณิชย์
"a peaceful place. there are some temples in one area. there is also a museum with a beautiful ornament and many statues in it. i really amazed with the detail ornament in every corner of the building. the shocked moment was that when a man put a lot firecracker inside of a stack of bricks, and fire it, so i could hear a huge sound from it and that stack is near the temple. i was just wondered, am not the people disturbed with that sound",สถานที่เงียบสงบ มีวัดบางแห่งในที่เดียว นอกจากนี้ยังมีพิพิธภัณฑ์ที่ประดับด้วยเครื่องประดับที่สวยงามและรูปปั้นมากมายในนั้น ฉันประหลาดใจกับการตกแต่งรายละเอียดในทุกมุมของอาคาร ช่วงเวลาที่น่าตกใจคือเมื่อชายคนหนึ่งใส่ประทัดเข้าไปในกองอิฐและยิงมันดังนั้นฉันจึงได้ยินเสียงขนาดใหญ่จากมันและกองนั้นอยู่ใกล้กับพระวิหาร ฉันแค่สงสัยว่าไม่ใช่คนที่ถูกรบกวนด้วยเสียงนั้น
"amazing tample to loose yourself for couple of hours, admiring the architecture and the importance that locals give to it.",ตัวอย่างที่น่าทึ่งที่จะปลดปล่อยตัวเองออกไปสองสามชั่วโมงชื่นชมสถาปัตยกรรมและความสำคัญที่คนในท้องถิ่นมอบให้
nice peaceful temple and surrounding areas. various other temples around too. in the main temple there are beautiful paintings that tell stories.,วัดเงียบสงบดีและพื้นที่โดยรอบ วัดอื่น ๆ อีกมากมายรอบ ๆ เช่นกัน ในวัดหลักมีภาพเขียนที่สวยงามที่บอกเล่าเรื่องราว
